year,race_name,lap_number,driver_id,position,lap_time
2023,Bahrain Grand Prix,15,norris,16,98.87
2023,Bahrain Grand Prix,15,de_vries,17,98.868
2023,Bahrain Grand Prix,15,hulkenberg,18,98.97200000000001
2023,Bahrain Grand Prix,15,zhou,19,99.229
2023,Bahrain Grand Prix,16,perez,1,98.77000000000001
2023,Bahrain Grand Prix,16,max_verstappen,2,97.801
2023,Bahrain Grand Prix,16,leclerc,3,97.953
2023,Bahrain Grand Prix,16,sainz,4,98.43299999999999
2023,Bahrain Grand Prix,16,hamilton,5,98.61699999999999
2023,Bahrain Grand Prix,16,bottas,6,98.494
2023,Bahrain Grand Prix,16,alonso,7,97.542
2023,Bahrain Grand Prix,16,russell,8,97.833
2023,Bahrain Grand Prix,16,stroll,9,119.876
2023,Bahrain Grand Prix,16,albon,10,99.253
2023,Bahrain Grand Prix,16,tsunoda,11,99.061
2023,Bahrain Grand Prix,16,gasly,12,98.945
2023,Bahrain Grand Prix,16,sargeant,13,98.988
2023,Bahrain Grand Prix,16,norris,14,98.86
2023,Bahrain Grand Prix,16,de_vries,15,99.12700000000001
2023,Bahrain Grand Prix,16,hulkenberg,16,99.136
2023,Bahrain Grand Prix,16,zhou,17,98.99799999999999
2023,Bahrain Grand Prix,16,kevin_magnussen,18,120.587
2023,Bahrain Grand Prix,16,ocon,19,135.708
2023,Bahrain Grand Prix,17,perez,1,101.36
2023,Bahrain Grand Prix,17,max_verstappen,2,97.648
2023,Bahrain Grand Prix,17,leclerc,3,98.031
2023,Bahrain Grand Prix,17,sainz,4,98.161
2023,Bahrain Grand Prix,17,hamilton,5,98.70400000000001
2023,Bahrain Grand Prix,17,alonso,6,98.13900000000001
2023,Bahrain Grand Prix,17,bottas,7,99.973
2023,Bahrain Grand Prix,17,russell,8,98.604
2023,Bahrain Grand Prix,17,stroll,9,97.507
2023,Bahrain Grand Prix,17,albon,10,99.094
2023,Bahrain Grand Prix,17,tsunoda,11,99.021
2023,Bahrain Grand Prix,17,gasly,12,99.011
2023,Bahrain Grand Prix,17,sargeant,13,99.439
2023,Bahrain Grand Prix,17,de_vries,14,98.99600000000001
2023,Bahrain Grand Prix,17,norris,15,101.501
